# StatCurve — per-level multipliers for stats (Levels 1–100)

# Format: LV=HP,ATK,DEF,SPA,SPD2,SPD,DEX  (multipliers, 1.00 = base)

# Design: gentle early growth, mid-game lift, late-game stronger; HP grows fastest.

1=1.00,1.00,1.00,1.00,1.00,1.00,1.00
2=1.03,1.01,1.01,1.01,1.01,1.01,1.00
3=1.06,1.02,1.02,1.02,1.02,1.02,1.01
4=1.09,1.03,1.03,1.03,1.03,1.03,1.01
5=1.12,1.04,1.04,1.04,1.04,1.04,1.02
6=1.15,1.05,1.05,1.05,1.05,1.05,1.02
7=1.18,1.06,1.06,1.06,1.06,1.06,1.03
8=1.21,1.07,1.07,1.07,1.07,1.07,1.03
9=1.24,1.08,1.08,1.08,1.08,1.08,1.04
10=1.27,1.09,1.09,1.09,1.09,1.09,1.04
11=1.30,1.10,1.10,1.10,1.10,1.10,1.05
12=1.33,1.11,1.11,1.11,1.11,1.11,1.05
13=1.36,1.12,1.12,1.12,1.12,1.12,1.06
14=1.39,1.13,1.13,1.13,1.13,1.13,1.06
15=1.42,1.14,1.14,1.14,1.14,1.14,1.07
16=1.45,1.15,1.15,1.15,1.15,1.15,1.07
17=1.48,1.16,1.16,1.16,1.16,1.16,1.08
18=1.51,1.17,1.17,1.17,1.17,1.17,1.08
19=1.54,1.18,1.18,1.18,1.18,1.18,1.09
20=1.57,1.19,1.19,1.19,1.19,1.19,1.09
21=1.60,1.20,1.20,1.20,1.20,1.20,1.10
22=1.63,1.21,1.21,1.21,1.21,1.21,1.10
23=1.66,1.22,1.22,1.22,1.22,1.22,1.11
24=1.69,1.23,1.23,1.23,1.23,1.23,1.11
25=1.72,1.24,1.24,1.24,1.24,1.24,1.12
26=1.75,1.25,1.25,1.25,1.25,1.25,1.12
27=1.78,1.26,1.26,1.26,1.26,1.26,1.13
28=1.81,1.27,1.27,1.27,1.27,1.27,1.13
29=1.84,1.28,1.28,1.28,1.28,1.28,1.14
30=1.87,1.29,1.29,1.29,1.29,1.29,1.14
31=1.90,1.30,1.30,1.30,1.30,1.30,1.15
32=1.93,1.31,1.31,1.31,1.31,1.31,1.15
33=1.96,1.32,1.32,1.32,1.32,1.32,1.16
34=1.99,1.33,1.33,1.33,1.33,1.33,1.16
35=2.02,1.34,1.34,1.34,1.34,1.34,1.17
36=2.05,1.35,1.35,1.35,1.35,1.35,1.17
37=2.08,1.36,1.36,1.36,1.36,1.36,1.18
38=2.11,1.37,1.37,1.37,1.37,1.37,1.18
39=2.14,1.38,1.38,1.38,1.38,1.38,1.19
40=2.17,1.39,1.39,1.39,1.39,1.39,1.19
41=2.20,1.40,1.40,1.40,1.40,1.40,1.20
42=2.23,1.41,1.41,1.41,1.41,1.41,1.20
43=2.26,1.42,1.42,1.42,1.42,1.42,1.21
44=2.29,1.43,1.43,1.43,1.43,1.43,1.21
45=2.32,1.44,1.44,1.44,1.44,1.44,1.22
46=2.35,1.45,1.45,1.45,1.45,1.45,1.22
47=2.38,1.46,1.46,1.46,1.46,1.46,1.23
48=2.41,1.47,1.47,1.47,1.47,1.47,1.23
49=2.44,1.48,1.48,1.48,1.48,1.48,1.24
50=2.47,1.49,1.49,1.49,1.49,1.49,1.24

# Post-50: stronger gains toward 100

51=2.50,1.50,1.50,1.50,1.50,1.50,1.25
52=2.53,1.51,1.51,1.51,1.51,1.51,1.26
53=2.56,1.52,1.52,1.52,1.52,1.52,1.26
54=2.59,1.53,1.53,1.53,1.53,1.53,1.27
55=2.62,1.54,1.54,1.54,1.54,1.54,1.27
56=2.65,1.55,1.55,1.55,1.55,1.55,1.28
57=2.68,1.56,1.56,1.56,1.56,1.56,1.28
58=2.71,1.57,1.57,1.57,1.57,1.57,1.29
59=2.74,1.58,1.58,1.58,1.58,1.58,1.29
